app_name,repo,electron_version,date_accessed,access_type,vulnerable_cve_2023_4863,vulnerable_cve_2023_5217
DBcloner,https://github.com/felipeleivav/dbcloner-app,,,programmatic,unknown,unknown
DbGate,https://github.com/dbgate/dbgate,,2023-10-02 22:10:21-0700,programmatic,unknown,unknown
DBGlass,https://github.com/web-pal/DBGlass,,2023-10-02 22:10:22-0700,programmatic,unknown,unknown
Debugtron,,,,programmatic,unknown,unknown
DECK,https://github.com/sfx101/docker-stacks,^13.0.0,2023-10-02 22:10:23-0700,programmatic,vulnerable,vulnerable
Deckboard,https://github.com/rivafarabi/deckboard,,,programmatic,unknown,unknown
DeckMaster,https://github.com/TheOtterlord/deckmaster,^11.2.1,2023-10-02 22:10:26-0700,programmatic,vulnerable,vulnerable
Deco IDE,https://github.com/decosoftware/deco-ide,,,programmatic,unknown,unknown
Deepnest,,,,programmatic,unknown,unknown
Deer,,,,programmatic,unknown,unknown
Demio,,,,programmatic,unknown,unknown
Demoflow,,,,programmatic,unknown,unknown
Deskfiler,https://github.com/deskfiler/deskfiler,6.0.9,2023-10-02 22:10:30-0700,programmatic,vulnerable,vulnerable
Devbook,,,,programmatic,unknown,unknown
DevHub,,,,programmatic,unknown,unknown
Dict,https://github.com/bryht/Dict,^9.4.4,2023-10-02 22:10:32-0700,programmatic,vulnerable,vulnerable
Diffuse,https://github.com/icidasset/diffuse,,2023-10-02 22:10:33-0700,programmatic,unknown,unknown
DigiExam,,,,programmatic,unknown,unknown
Discord,,22.3.24,,programmatic,patched,unknown
Discord RPC Maker,https://github.com/thatonecalculator/discordrpcmaker,^22.0.0,2023-10-02 22:10:34-0700,programmatic,vulnerable,vulnerable
display-dj,https://github.com/synle/display-dj,^19.0.2,2023-10-02 22:10:35-0700,programmatic,vulnerable,vulnerable
Ditto++,,,,programmatic,unknown,unknown
Dixa,https://github.com/dixahq/dixa-desktop-app-release,,,programmatic,unknown,unknown
Dn Tool Container,,,,programmatic,unknown,unknown
Doki Doki Mod Manager,https://github.com/DokiDokiModManager/Mod-Manager,^10.1.3,2023-10-02 22:10:38-0700,programmatic,vulnerable,vulnerable
Domain Book,https://github.com/darawish/domainbook,,,programmatic,unknown,unknown
domodel-diary,,13.1.0,,programmatic,vulnerable,unknown
DomTerm,https://github.com/PerBothner/DomTerm,,2023-10-02 22:10:40-0700,programmatic,unknown,unknown
