app_name,repo,electron_version,date_accessed,access_type,vulnerable_cve_2023_4863,vulnerable_cve_2023_5217
Network Status Check,https://github.com/cjerrington/net-check,^22.0.0,2023-10-02 22:13:02-0700,programmatic,vulnerable,vulnerable
NetworkAssembler,,,,programmatic,unknown,unknown
NeuCalculator,,,,programmatic,unknown,unknown
Nicepage,https://github.com/NicepageApp/Nicepage,,,programmatic,unknown,unknown
nimblenote,https://github.com/nimblenote/nimblenote,,,programmatic,unknown,unknown
NodemailerApp,https://github.com/nodemailer/nodemailer-app,,,programmatic,unknown,unknown
Norde Source,,,,programmatic,unknown,unknown
NorthReader,,,,programmatic,unknown,unknown
Nota,https://github.com/notaapp/releases,,,programmatic,unknown,unknown
Notable,https://github.com/notable/notable,,,programmatic,unknown,unknown
Notejoy,,,,programmatic,unknown,unknown
Notion,,26.2.1,,programmatic,patched,unknown
nteract,https://github.com/nteract/nteract,11.5.0,2023-10-02 22:13:09-0700,programmatic,vulnerable,vulnerable
NubiDo,,,,programmatic,unknown,unknown
nuclear,https://github.com/nukeop/nuclear,^12.1.0,2023-10-02 22:13:10-0700,programmatic,vulnerable,vulnerable
Nuclide,,,,programmatic,unknown,unknown
nxshell,,,,programmatic,unknown,unknown
Obsidian,,25.8.1,,programmatic,patched,unknown
octopi-init,https://github.com/OutsourcedGuru/octopi-init/blob/master/electron_README.md,2.0.8,,programmatic,vulnerable,unknown
ODrive,,,,programmatic,unknown,unknown
OhHai Browser,https://github.com/OhHaiBrowser/Browser/,^8.2.5,2023-10-02 22:13:12-0700,programmatic,vulnerable,vulnerable
One Copy,,,,programmatic,unknown,unknown
Open Log Viewer,,,,programmatic,unknown,unknown
Open Stage Control,,,,programmatic,unknown,unknown
OpenBazaar,,,,programmatic,unknown,unknown
OpenComic,,,,programmatic,unknown,unknown
OpenSpeedTest-Server,https://github.com/openspeedtest/Speed-Test,,,programmatic,unknown,unknown
Oversetter,https://github.com/4gray/oversetter,^7.1.9,2023-10-02 22:13:15-0700,programmatic,vulnerable,vulnerable
P3X OneNote,https://github.com/patrikx3/onenote,^25.8.2,2023-10-02 22:13:16-0700,programmatic,patched,vulnerable
P3X Redis UI,https://github.com/patrikx3/redis-ui,^26.1.0,2023-10-02 22:13:18-0700,programmatic,vulnerable,vulnerable
PamFax,,,,programmatic,unknown,unknown
Panda 2,,,,programmatic,unknown,unknown
PanWriter,https://github.com/mb21/panwriter,^26.2.4,2023-10-02 22:13:19-0700,programmatic,patched,patched
PaperArxiv,,,,programmatic,unknown,unknown
PaperCubes,,,,programmatic,unknown,unknown
Papyrus,,,,programmatic,unknown,unknown
Parsify Desktop,,,,programmatic,unknown,unknown
Particle Dev,,,,programmatic,unknown,unknown
passky,https://github.com/Rabbit-Company/Passky-Desktop,^22.1.0,2023-10-02 22:13:20-0700,programmatic,vulnerable,vulnerable
Patchwork,https://github.com/ssbc/patchwork,^11.3.0,2023-10-02 22:13:21-0700,programmatic,vulnerable,vulnerable
Paymo Time Tracker,,,,programmatic,unknown,unknown
Peacock,,,,programmatic,unknown,unknown
PeerShare,,,,programmatic,unknown,unknown
Pencil,https://github.com/evolus/pencil,16.0.0,2023-10-02 22:13:22-0700,programmatic,vulnerable,vulnerable
Pendulums,https://github.com/Swing-team/pendulums-web-client,^6.0.7,2023-10-02 22:13:24-0700,programmatic,vulnerable,vulnerable
Pennywise,,,,programmatic,unknown,unknown
Petal,,,,programmatic,unknown,unknown
Phiewer,,,,programmatic,unknown,unknown
PhonePresenter,,,,programmatic,unknown,unknown
Photo Viewer,,,,programmatic,unknown,unknown
PhotoScreenSaver,,,,programmatic,unknown,unknown
Pic Crop,,,,programmatic,unknown,unknown
Picturama,https://github.com/picturama/picturama,~11.1.0,2023-10-02 22:13:25-0700,programmatic,vulnerable,vulnerable
PileMd,,,,programmatic,unknown,unknown
PiTV,https://github.com/ozankaraali/PiTV,22.0.0,2023-10-02 22:13:26-0700,programmatic,vulnerable,vulnerable
Playback,,,,programmatic,unknown,unknown
PlayCode,,,,programmatic,unknown,unknown
Pocket Server,,,,programmatic,unknown,unknown
Poddycast,,,,programmatic,unknown,unknown
poi,https://github.com/poooi/poi,^24.2.0,2023-10-02 22:13:28-0700,programmatic,vulnerable,vulnerable
Polypane,,26.2.4,,programmatic,patched,unknown
pomodoro-logger,,,,programmatic,unknown,unknown
Pomolectron,,,,programmatic,unknown,unknown
Pomotroid,https://github.com/Splode/pomotroid,^11.0.1,2023-10-02 22:13:29-0700,programmatic,vulnerable,vulnerable
PopSQL,,,,programmatic,unknown,unknown
Postbird,,,,programmatic,unknown,unknown
Postman,,18.3.5,,programmatic,vulnerable,unknown
Pragli,,,,programmatic,unknown,unknown
PreMiD,https://github.com/PreMiD/PreMiD,11.3.0,2023-10-02 22:13:30-0700,programmatic,vulnerable,vulnerable
Preserver,,,,programmatic,unknown,unknown
Presets.io,,,,programmatic,unknown,unknown
PrettyEarth,https://github.com/evertdespiegeleer/PrettyEarth,^15.0.0,2023-10-02 22:13:31-0700,programmatic,vulnerable,vulnerable
PrexView,,,,programmatic,unknown,unknown
Primate,https://github.com/getprimate/primate,^22.0.3,2023-10-02 22:13:32-0700,programmatic,vulnerable,vulnerable
primitive.nextgen,,,,programmatic,unknown,unknown
ProDoctor Medicamentos,,,,programmatic,unknown,unknown
Proposales,,,,programmatic,unknown,unknown
ProSecrec,https://github.com/HydroCarbons/ProSecrec,,,programmatic,unknown,unknown
ProtegoPDF,,,,programmatic,unknown,unknown
Protoman,,,,programmatic,unknown,unknown
ProtoPie,,,,programmatic,unknown,unknown
Pullp,,,,programmatic,unknown,unknown
Puppetry,https://github.com/dsheiko/puppetry/,^12.0.6,2023-10-02 22:13:34-0700,programmatic,vulnerable,vulnerable
Putler,,,,programmatic,unknown,unknown
Q-player,https://github.com/Toooorch/q-player/,,,programmatic,unknown,unknown
Qawl,https://github.com/sufone/qawl,^10.2.0,2023-10-02 22:13:37-0700,programmatic,vulnerable,vulnerable
qikQR,,,,programmatic,unknown,unknown
QMUI Web,https://github.com/QMUI/qmui_web_desktop,,2023-10-02 22:13:38-0700,programmatic,unknown,unknown
Quail,,,,programmatic,unknown,unknown
Quark,https://github.com/Nishkalkashyap/Quark-electron,^6.1.9,2023-10-02 22:13:40-0700,programmatic,vulnerable,vulnerable
Quba E-Invoice Viewer,https://github.com/ZUGFeRD/quba-viewer,20.0.0,2023-10-02 22:13:41-0700,programmatic,vulnerable,vulnerable
QuickBooks,,,,programmatic,unknown,unknown
QuickRedis,https://github.com/quick123official/quick_redis_blog,15.5.5,2023-10-02 22:13:42-0700,programmatic,vulnerable,vulnerable
r2e-todoworks,,,,programmatic,unknown,unknown
R6RC,https://github.com/austinleath/r6rc,^9.1.0,2023-10-02 22:13:44-0700,programmatic,vulnerable,vulnerable
Racompass,https://github.com/racompass/racompass,,,programmatic,unknown,unknown
Radio 50/50 Player,,,,programmatic,unknown,unknown
Raider for Instagram,https://github.com/AssetKid/raider-release,,,programmatic,unknown,unknown
Rainbow Board,https://github.com/HarshKhandeparkar/rainbow-board,^12.0.1,2023-10-02 22:13:46-0700,programmatic,vulnerable,vulnerable
Rambox,https://github.com/saenzramiro/rambox,13.6.3,2023-10-02 22:13:47-0700,programmatic,vulnerable,vulnerable
Raven Reader,,,,programmatic,unknown,unknown
raycho,,,,programmatic,unknown,unknown
Reach Podcast Player,,,,programmatic,unknown,unknown
React-Explorer,,,,programmatic,unknown,unknown
Rebaslight,https://github.com/rebaslight/rebaslight,^23.1.0,2023-10-02 22:13:49-0700,programmatic,vulnerable,vulnerable
Recode Converter,https://github.com/murgatt/recode-converter,^11.5.0,2023-10-02 22:13:50-0700,programmatic,vulnerable,vulnerable
Recollectr,https://github.com/Recollectr/releases,,,programmatic,unknown,unknown
Redis GUI (unofficial),https://github.com/ekvedaras/redis-gui,19.1.9,2023-10-02 22:13:52-0700,programmatic,vulnerable,vulnerable
Remaining Time,,,,programmatic,unknown,unknown
Remember,,,,programmatic,unknown,unknown
Remind,,,,programmatic,unknown,unknown
Remindr,https://github.com/MrDavidRios/remindr_releases,,,programmatic,unknown,unknown
RemSupp,,,,programmatic,unknown,unknown
RenderTune,https://github.com/MartinBarker/RenderTune,11.3.0,2023-10-02 22:13:54-0700,programmatic,vulnerable,vulnerable
Repic,,,,programmatic,unknown,unknown
ReqView,,,,programmatic,unknown,unknown
Responsively App,https://github.com/manojVivek/responsively-app,,,programmatic,unknown,unknown
Responsivize,https://github.com/virejdasani/Responsivize,^12.0.7,2023-10-02 22:13:59-0700,programmatic,vulnerable,vulnerable
Reversee,,,,programmatic,unknown,unknown
RIDE,,,,programmatic,unknown,unknown
Ride Receipts,https://github.com/ridereceipts/ridereceipts,^9.0.4,2023-10-02 22:14:00-0700,programmatic,vulnerable,vulnerable
Riot,https://github.com/vector-im/element-desktop,^26.2.1,2023-10-02 22:14:02-0700,programmatic,patched,vulnerable
rmclient,,,,programmatic,unknown,unknown
Rocket.Chat,,,,programmatic,unknown,unknown
RunJS,,,,programmatic,unknown,unknown
Runlet,https://github.com/runletapp/runlet,,,programmatic,unknown,unknown
RStudio,https://github.com/rstudio/rstudio,26.2.4,,programmatic,patched,unknown
Saadhn,,,,programmatic,unknown,unknown
Scratch For Discord,https://github.com/scratch-for-discord/scratch-for-discord-app,^19.0.8,2023-10-02 22:14:11-0700,programmatic,vulnerable,vulnerable
ScreenCat,,,,programmatic,unknown,unknown
ScreenTray,https://github.com/DSnopov/screentray-distribution,,,programmatic,unknown,unknown
SeaPig,https://github.com/yasumichi/seapig,^7.0.0,2023-10-02 22:14:14-0700,programmatic,vulnerable,vulnerable
Sejda PDF Desktop,,^7.0.0,,programmatic,vulnerable,unknown
Sencha Architect,,,,programmatic,unknown,unknown
Sencha Inspector,,,,programmatic,unknown,unknown
Sencha Test,,,,programmatic,unknown,unknown
Sencha Themer,,,,programmatic,unknown,unknown
SEOBrowse,https://github.com/seobrowse/serp/,^9.0.0,2023-10-02 22:14:15-0700,programmatic,vulnerable,vulnerable
Serene App,,,,programmatic,unknown,unknown
Serina,https://github.com/ORN-Fox/serina-1,^24.2.0,2023-10-02 22:14:17-0700,programmatic,vulnerable,vulnerable
Ses,,,,programmatic,unknown,unknown
sFTP Client,,,,programmatic,unknown,unknown
shadowsocks-electron,,,,programmatic,unknown,unknown
Shapespark,,,,programmatic,unknown,unknown
sheepChat,,,,programmatic,unknown,unknown
Shift,,,,programmatic,unknown,unknown
Shuttle,,,,programmatic,unknown,unknown
Signal,https://github.com/signalapp/Signal-Desktop,25.8.4,2023-10-02 22:14:18-0700,programmatic,patched,patched
Silex website builder,https://github.com/silexlabs/silex-desktop/,10.1.5,2023-10-02 22:14:19-0700,programmatic,vulnerable,vulnerable
Simpico,,,,programmatic,unknown,unknown
Simple-Finder,,,,programmatic,unknown,unknown
SimpleInstaBot,https://github.com/mifi/SimpleInstaBot,^19.1.8,2023-10-02 22:14:20-0700,programmatic,vulnerable,vulnerable
Simplenote,https://github.com/Automattic/simplenote-electron,12.0.5,2023-10-02 22:14:22-0700,programmatic,vulnerable,vulnerable
Singlebox,https://github.com/webcatalog/neutron,18.0.1,2023-10-02 22:14:23-0700,programmatic,vulnerable,vulnerable
Sizzy,,,,programmatic,unknown,unknown
Skype,,,,programmatic,unknown,unknown
Slack,,26.2.1,,programmatic,patched,unknown
Slapdash,,,,programmatic,unknown,unknown
sleek,,,,programmatic,unknown,unknown
Smallpdf,,,,programmatic,unknown,unknown
SnailFM,https://github.com/snaildos/SnailFM-Application,25.8.1,2023-10-02 22:14:25-0700,programmatic,patched,vulnerable
SnipAway,,,,programmatic,unknown,unknown
SnipCommand,,,,programmatic,unknown,unknown
Snipline,,,,programmatic,unknown,unknown
Snippet Store,https://github.com/ZeroX-DG/SnippetStore,^7.3.3,2023-10-02 22:14:26-0700,programmatic,vulnerable,vulnerable
SnowyOwl,,,,programmatic,unknown,unknown
Social Amnesia,,,,programmatic,unknown,unknown
Socially,https://github.com/JackHumphries9/Socially,^12.0.2,2023-10-02 22:14:27-0700,programmatic,vulnerable,vulnerable
Sofia,,,,programmatic,unknown,unknown
Somiibo,,,,programmatic,unknown,unknown
SongRiffer,,,,programmatic,unknown,unknown
Sononym,,,,programmatic,unknown,unknown
Soundboard,,,,programmatic,unknown,unknown
Soundglass,,,,programmatic,unknown,unknown
Soundnode,https://github.com/Soundnode/soundnode-app,^8.0.1,2023-10-02 22:14:28-0700,programmatic,vulnerable,vulnerable
Source Me,,,,programmatic,unknown,unknown
SpaceEye,https://github.com/KYDronePilot/SpaceEye,~9.2.0,2023-10-02 22:14:29-0700,programmatic,vulnerable,vulnerable
SparkChess,,,,programmatic,unknown,unknown
SpinShare Client,https://github.com/SpinShare/client,12.2.3,2023-10-02 22:14:30-0700,programmatic,vulnerable,vulnerable
Splice,,,,programmatic,unknown,unknown
spofly,https://github.com/itsjustaplant/spofly,,,programmatic,unknown,unknown
SportFX Studio,,,,programmatic,unknown,unknown
SpotSpot,,,,programmatic,unknown,unknown
Spreaker Studio,,,,programmatic,unknown,unknown
Sqlectron,https://github.com/sqlectron/sqlectron-gui,^12.0.1,2023-10-02 22:14:32-0700,programmatic,vulnerable,vulnerable
sqlui-native,https://github.com/synle/sqlui-native,^20.2.0,2023-10-02 22:14:34-0700,programmatic,vulnerable,vulnerable
Stack,,,,programmatic,unknown,unknown
stacker,https://github.com/enqueuer-land/stacker,^22.3.24,2023-10-02 22:14:35-0700,programmatic,patched,vulnerable
Stacks,,,,programmatic,unknown,unknown
STAMP,,,,programmatic,unknown,unknown
Standard Notes,https://github.com/standardnotes/desktop,17.4.2,2023-10-02 22:14:36-0700,programmatic,vulnerable,vulnerable
Standup Picker,https://github.com/Mokkapps/scrum-daily-standup-picker,^16.0.7,2023-10-02 22:14:38-0700,programmatic,vulnerable,vulnerable
Station,,,,programmatic,unknown,unknown
stay-hydrated,,,,programmatic,unknown,unknown
SteelSeries Engine 3,,23.1.3,,programmatic,vulnerable,unknown
StickyNotes,,,,programmatic,unknown,unknown
Stinker,https://github.com/PatentLobster/stinker,^11.4.11,2023-10-02 22:14:39-0700,programmatic,vulnerable,vulnerable
Stockifier,,,,programmatic,unknown,unknown
Stopawu,,,,programmatic,unknown,unknown
StopLight,,,,programmatic,unknown,unknown
Storaji,,,,programmatic,unknown,unknown
Storm,https://github.com/StormSDK/StormApp,,,programmatic,unknown,unknown
StreamBop,https://github.com/snaildos/StreamBop,25.8.1,2023-10-02 22:14:41-0700,programmatic,patched,vulnerable
Streamlabs Desktop,https://github.com/stream-labs/desktop,17.4.11,2023-10-02 22:14:42-0700,programmatic,vulnerable,vulnerable
Street View Download 360,,,,programmatic,unknown,unknown
StudioTrans,,,,programmatic,unknown,unknown
StudyMD,,,,programmatic,unknown,unknown
Sturdy,https://github.com/sturdy-dev/sturdy,,2023-10-02 22:14:45-0700,programmatic,unknown,unknown
Subordination,,,,programmatic,unknown,unknown
Subtitler,https://github.com/s8sachin/subtitler,^8,2023-10-02 22:14:46-0700,programmatic,vulnerable,vulnerable
Super Productivity,https://github.com/johannesjo/super-productivity,^23.3.13,2023-10-02 22:14:47-0700,programmatic,vulnerable,vulnerable
Superpowers — HTML5 2D+3D game maker,,,,programmatic,unknown,unknown
Superscript,,,,programmatic,unknown,unknown
Svgsus,,,,programmatic,unknown,unknown
Swifty,,,,programmatic,unknown,unknown
Swit,,,,programmatic,unknown,unknown
Switch,https://github.com/ahkohd/switch-desktop,^7.0.0-beta.6,2023-10-02 22:14:49-0700,programmatic,vulnerable,vulnerable
SwitchHosts,https://github.com/oldj/SwitchHosts,24.8.3,2023-10-02 22:14:50-0700,programmatic,patched,vulnerable
Symphony,https://github.com/symphonyoss/SymphonyElectron,26.2.3,2023-10-02 22:14:51-0700,programmatic,patched,vulnerable
Synap,,,,programmatic,unknown,unknown
T.Viewer,,,,programmatic,unknown,unknown
Tabby,,,,programmatic,unknown,unknown
Tabby Terminal,https://github.com/Eugeny/tabby,^25.3.0,2023-10-02 22:14:53-0700,programmatic,vulnerable,vulnerable
TagFlow,,,,programmatic,unknown,unknown
TagSpaces,https://github.com/tagspaces/tagspaces,25.8.3,2023-10-02 22:14:54-0700,programmatic,patched,vulnerable
Tagstoo,https://sourceforge.net/projects/tagstoo/files/Tagstoo__sourcecode/,,,programmatic,unknown,unknown
Taskade,,,,programmatic,unknown,unknown
Taskana,https://github.com/mountainash/taskana,26.2.4,2023-10-02 22:14:55-0700,programmatic,patched,patched
TEA Ebook,,,,programmatic,unknown,unknown
Teleios Bible,,,,programmatic,unknown,unknown
Ten Hands,https://github.com/saisandeepvaddi/ten-hands,,2023-10-02 22:14:57-0700,programmatic,unknown,unknown
Tèsèvè,https://github.com/teseve/teseve,,2023-10-02 22:14:58-0700,programmatic,unknown,unknown
Tess,,,,programmatic,unknown,unknown
TestCafe Studio,,,,programmatic,unknown,unknown
TestMace,https://github.com/TestMace/TestMace-issues,,,programmatic,unknown,unknown
Testrec,,,,programmatic,unknown,unknown
texpaste,,,,programmatic,unknown,unknown
TextureLab,https://github.com/njbrown/texturelab,^13.0.0,2023-10-02 22:15:01-0700,programmatic,vulnerable,vulnerable
The Poker Timer,,,,programmatic,unknown,unknown
themebuilder,,,,programmatic,unknown,unknown
ThisMyPC,,,,programmatic,unknown,unknown
Thorium Reader,https://github.com/edrlab/thorium-reader/,^25.5.0,2023-10-02 22:15:02-0700,programmatic,vulnerable,vulnerable
Threema For Desktop,,,,programmatic,unknown,unknown
ThunderDocs,,,,programmatic,unknown,unknown
TIDAL,,,,programmatic,unknown,unknown
TidGi,,,,programmatic,unknown,unknown
Tilde,,,,programmatic,unknown,unknown
Tiliq,,,,programmatic,unknown,unknown
Time Series Admin,https://github.com/timeseriesadmin/timeseriesadmin,8.5.2,2023-10-02 22:15:03-0700,programmatic,vulnerable,vulnerable
Time Zone Converter and World Clock,,,,programmatic,unknown,unknown
timeBuzzer,,,,programmatic,unknown,unknown
Timetable,,,,programmatic,unknown,unknown
To Do,https://github.com/luapp/ToDo,^11.1.1,2023-10-02 22:15:05-0700,programmatic,vulnerable,vulnerable
Tockler,https://github.com/MayGo/tockler,,2023-10-02 22:15:06-0700,programmatic,unknown,unknown
todometer,https://github.com/cassidoo/todometer/,^22.0.2,2023-10-02 22:15:07-0700,programmatic,vulnerable,vulnerable
Tofino,,,,programmatic,unknown,unknown
tonfotos,,,,programmatic,unknown,unknown
Top Browser,https://bitbucket.org/speedydemon/electron_top_browser/,,,programmatic,unknown,unknown
Tough Cookies,,,,programmatic,unknown,unknown
Trackabi Time Tracker,https://github.com/Trackabi/desktop-time-tracking,,,programmatic,unknown,unknown
TrackingTime,,,,programmatic,unknown,unknown
Transee,https://github.com/alessioforte/transee,^18.0.1,2023-10-02 22:15:11-0700,programmatic,vulnerable,vulnerable
Translation Editor,https://bitbucket.org/bflower/react-intl-editor,,,programmatic,unknown,unknown
Translatium,https://github.com/webcatalog/translatium-desktop,16.1.0,2023-10-02 22:15:13-0700,programmatic,vulnerable,vulnerable
Trello,,,,programmatic,unknown,unknown
TriCo,,,,programmatic,unknown,unknown
Trilium Notes,,,,programmatic,unknown,unknown
Trivia Desktop,,,,programmatic,unknown,unknown
Tropy,https://github.com/tropy/tropy/,^25.8.4,2023-10-02 22:15:14-0700,programmatic,patched,patched
Trym,,,,programmatic,unknown,unknown
ttth,,,,programmatic,unknown,unknown
Tunlookup,https://github.com/thephucit/tunlookup,,,programmatic,unknown,unknown
Turbo Download Manager,,,,programmatic,unknown,unknown
Tusk,https://github.com/klaussinani/tusk,6.0.11,2023-10-02 22:15:19-0700,programmatic,vulnerable,vulnerable
Tutti Quanti Shelf,,,,programmatic,unknown,unknown
TweakStyle,,,,programmatic,unknown,unknown
Tweeten,,,,programmatic,unknown,unknown
Twinkle Tray,https://github.com/xanderfrangos/twinkle-tray,^20.3.6,2023-10-02 22:15:20-0700,programmatic,vulnerable,vulnerable
Twitch,,,,programmatic,unknown,unknown
TwitterTron,https://github.com/afractal/twittertron-app,,2023-10-02 22:15:21-0700,programmatic,unknown,unknown
Typetalk,,,,programmatic,unknown,unknown
Tzared,,,,programmatic,unknown,unknown
U Stair,https://github.com/afmorenosa/U_Stair,^9.3.4,2023-10-02 22:15:23-0700,programmatic,vulnerable,vulnerable
UbAuth,https://github.com/chrisenytc/ubauth,,2023-10-02 22:15:24-0700,programmatic,unknown,unknown
ueli,https://github.com/oliverschwendener/ueli,^26.2.1,2023-10-02 22:15:25-0700,programmatic,patched,vulnerable
UMLBoard,,,,programmatic,unknown,unknown
Unfx Proxy Checker,https://github.com/assnctr/unfx-proxy-checker,^20.1.4,2023-10-02 22:15:27-0700,programmatic,vulnerable,vulnerable
Unicopedia Plus,,,,programmatic,unknown,unknown
Unicopedia Sinica,,,,programmatic,unknown,unknown
Unofficial Desktop Client for Google Assistant,,,,programmatic,unknown,unknown
Unofficial Google Chat App,,,,programmatic,unknown,unknown
Unofficial Zalo,,,,programmatic,unknown,unknown
Upcount,https://github.com/madisvain/upcount,^10.2.0,2023-10-02 22:15:28-0700,programmatic,vulnerable,vulnerable
uPhone,,,,programmatic,unknown,unknown
Utilso,,,,programmatic,unknown,unknown
Vade Mecum Shelf,,,,programmatic,unknown,unknown
Vagrant Manager,,,,programmatic,unknown,unknown
Vectr,,,,programmatic,unknown,unknown
Vershd,,,,programmatic,unknown,unknown
Video Hub App,,,,programmatic,unknown,unknown
Video Player,,,,programmatic,unknown,unknown
Vikunja,https://code.vikunja.io/desktop,,2023-10-02 22:15:33-0700,programmatic,unknown,unknown
Visual Family Tree,https://github.com/Jisco/VisualFamilyTree,,,programmatic,unknown,unknown
Visual Studio Code,https://github.com/microsoft/vscode,25.8.4,2023-10-02 22:15:36-0700,programmatic,patched,patched
VivifyScrum,https://github.com/Vivify-Ideas/vivifyscrum2-electron/,,,programmatic,unknown,unknown
VK Messenger,,,,programmatic,unknown,unknown
Voice Notifies,,,,programmatic,unknown,unknown
VoIPstudio,,,,programmatic,unknown,unknown
Vrap,,,,programmatic,unknown,unknown
Vue Calc,,,,programmatic,unknown,unknown
VuPC,,,,programmatic,unknown,unknown
Waifu2x GUI,,,,programmatic,unknown,unknown
WAIL,,,,programmatic,unknown,unknown
Waiterio Restaurant POS,,,,programmatic,unknown,unknown
Wakefy,,,,programmatic,unknown,unknown
Walling,,,,programmatic,unknown,unknown
Wanna Class,,,,programmatic,unknown,unknown
Waqt,,,,programmatic,unknown,unknown
Wayward,,,,programmatic,unknown,unknown
wdOS,https://github.com/Webdeskme/wdOS/releases,,,programmatic,unknown,unknown
Web Net,https://github.com/MEGAMINDMK,,,programmatic,unknown,unknown
Web Toolbox,,,,programmatic,unknown,unknown
WebCatalog,,,,programmatic,unknown,unknown
Webkiosk-Wrapper,,,,programmatic,unknown,unknown
WebKitty,https://github.com/yikuansun/webkitty,^17.1.0,2023-10-02 22:15:41-0700,programmatic,vulnerable,vulnerable
WebTorrent,https://github.com/webtorrent/webtorrent-desktop,15.5.7,2023-10-02 22:15:42-0700,programmatic,vulnerable,vulnerable
WeekToDo,,,,programmatic,unknown,unknown
WeFlow,,,,programmatic,unknown,unknown
WeightHub,,,,programmatic,unknown,unknown
Weltenschaft,,,,programmatic,unknown,unknown
Wexond,,,,programmatic,unknown,unknown
Whale,,,,programmatic,unknown,unknown
WhatsApp,,,,programmatic,unknown,unknown
Wildlink,,,,programmatic,unknown,unknown
winds.yml,https://github.com/getstream/winds,,,programmatic,unknown,unknown
Wire,https://github.com/wireapp,,,programmatic,unknown,unknown
WizardMirror,https://www.github.com/Sanjit1/WizardMirror,^6.0.2,2023-10-02 22:15:48-0700,programmatic,vulnerable,vulnerable
wnr,https://github.com/RoderickQiu/wnr,22.3.18,2023-10-02 22:15:49-0700,programmatic,vulnerable,vulnerable
WordMark,,,,programmatic,unknown,unknown
WordofTheHour,,,,programmatic,unknown,unknown
WordPress,,,,programmatic,unknown,unknown
WorkPuls,,,,programmatic,unknown,unknown
WORKSHEETS Data Studio,https://github.com/FalconSoft/worksheets-data.studio,,,programmatic,unknown,unknown
World History AP,,,,programmatic,unknown,unknown
WoW Stat,,,,programmatic,unknown,unknown
WriteBar,https://github.com/alexander-shvets/writebar,,2023-10-02 22:15:52-0700,programmatic,unknown,unknown
XMind ZEN,,,,programmatic,unknown,unknown
Xuanxuan IM,,,,programmatic,unknown,unknown
y2mp3,,,,programmatic,unknown,unknown
yana,https://github.com/lukasbach/yana,^10.1.1,2023-10-02 22:15:53-0700,programmatic,vulnerable,vulnerable
Yet-Another-Gitbook-Reader,,,,programmatic,unknown,unknown
Yoheim,,,,programmatic,unknown,unknown
Yout,,,,programmatic,unknown,unknown
Youtube Music for Desktop (Unofficial),https://github.com/Venipa/ytmdesktop2,^20.3.3,2023-10-02 22:15:54-0700,programmatic,vulnerable,vulnerable
YTMDesktop App,https://github.com/adlerluiz/ytmdesktop,^11.4.9,2023-10-02 22:15:56-0700,programmatic,vulnerable,vulnerable
Zap,https://github.com/LN-Zap/zap-desktop,9.4.4,2023-10-02 22:15:57-0700,programmatic,vulnerable,vulnerable
Zector,,,,programmatic,unknown,unknown
Zefenify,https://github.com/Zefenify/Wolf-Cola,,,programmatic,unknown,unknown
Zello,,,,programmatic,unknown,unknown
Zeplin,,,,programmatic,unknown,unknown
Zerabase,,,,programmatic,unknown,unknown
Zettlr,https://github.com/zettlr/zettlr,^25.8.1,2023-10-02 22:16:00-0700,programmatic,patched,vulnerable
Znote,https://github.com/alagrede/znote-app,,,programmatic,unknown,unknown
zonote,,,,programmatic,unknown,unknown
Zoommy,,,,programmatic,unknown,unknown
Zulip,https://github.com/zulip/zulip-desktop,^25.8.1,2023-10-02 22:16:02-0700,programmatic,patched,vulnerable
白前,,,,programmatic,unknown,unknown
